transaction_date,branch_name,region,branch_size,product_category,total_revenue_sar,number_of_transactions,average_basket_sar,payment_method,customer_satisfaction_score
23-01-2025,Arar Central,Northern Borders,Small,Cleaning Supplies,1686.61,50,33.73,Mada,3.3
22-08-2024,Riyadh South,Riyadh,Large,Snacks & Confectionery,10377.89,121,85.77,Cash,4.4
05-08-2024,Jubail,Eastern Province,Large,Meat & Poultry,11507.93,121,95.11,Mada,3.8
26-09-2024,Unaizah,Qassim,Small,Beverages,2499.71,50,49.99,Mada,3.9
05-06-2025,Makkah City,Makkah,Large,Frozen Foods,8966.15,116,77.29,Mada,4.1
29-01-2025,Riyadh West,Riyadh,Large,Baby Products,10053.65,96,104.73,Tabby,4.3
27-11-2025,Riyadh Central,Riyadh,Large,Toys,13277.67,141,94.17,Mada,3.7
10-06-2024,Al Wajh,Tabuk,Medium,Baby Products,4817.32,52,92.64,Mada,
19-02-2026,Al Jawf Central,Al Jawf,Small,,1508.54,50,30.17,Mada,
17-01-2025,Jeddah North,Makkah,XLarge,Household,25550.97,283,90.29,Visa,3.6
05-09-2025,Riyadh Central,Riyadh,Large,Electronics,,145,111.66,STC Pay,
03-09-2024,Riyadh South,Riyadh,Large,Baby Products,13290.72,105,126.58,Mada,3.5
17-02-2026,Riyadh West,Riyadh,Large,Fresh Produce,,102,85.03,,4.0
04-08-2024,Al Wajh,Tabuk,Medium,,7905.86,96,82.35,Mastercard,4.2
18-11-2025,Bisha,Asir,Medium,Beverages,5467.17,64,85.42,Cash,3.9
25-08-2025,Madinah Central,Madinah,Small,Electronics,2438.55,50,48.77,Mada,
30-05-2026,Riyadh East,Riyadh,Large,Household,13941.09,127,109.77,Mada,3.2
05-09-2024,Najran Central,Najran,Medium,,5522.52,59,93.6,Cash,3.6
28-12-2024,Al Wajh,Tabuk,Medium,Beverages,7782.9,99,78.62,Mastercard,4.0
15-01-2026,Bisha,Asir,Medium,Snacks & Confectionery,4158.86,50,83.18,Mada,3.8
